gu_slug,slug,name,name_legal,transit_note,feature_note,adjacent_slugs,variant_set,sort
paldal,maegyo,매교동,매교동,"자가용 약 15분(매교역 → 동수원 방면). 대중교통은 매교역에서 광교 방면 버스 환승, 약 35분. 건물 주차장 이용 가능.","매교동은 재개발이 진행된 신축 아파트와 옛 주택가가 공존하는 지역입니다. 이주·입주 과정의 대출 부담, 분양 관련 채무 상담이 상대적으로 많습니다.",maesan;ingye;jidong,B,1
paldal,maesan,매산동,매산동,"자가용 약 18분(수원역 → 동수원 방면). 대중교통은 수원역에서 광교 방면 버스, 약 40분. 건물 주차장 이용 가능.","매산동은 수원역 앞 상권 지역으로 서비스업·유흥업 종사자와 소상공인이 많습니다. 소득이 현금 위주여서 증빙이 걱정이라는 분이 많은데, 통장 거래내역과 원천징수 자료로 보완하는 방법을 상담에서 안내합니다.",godeung;maegyo;seryu,C,2
paldal,godeung,고등동,고등동,"자가용 약 18분(수원역 북측 → 동수원 방면). 대중교통은 수원역에서 광교 방면 버스, 약 40분. 건물 주차장 이용 가능.","고등동은 수원역 인근의 재개발 지역으로 주거 이동이 잦습니다. 이사 예정이 있어도 신청 시점 주소지 기준으로 관할이 정해지므로, 이주 계획이 있다면 상담 때 미리 알려주시는 것이 좋습니다.",maesan;hwaseo;maegyo,A,3
paldal,hwaseo,화서동,화서1·2동,"자가용 약 20분(화서역 → 장안문 → 동수원 방면). 대중교통은 화서역에서 광교 방면 버스 환승, 약 45분. 건물 주차장 이용 가능.","화서동은 화서역 주변 아파트와 대형 상업시설이 있는 주거 지역입니다. 직장인 가계 채무 상담이 많고, 카드론·마이너스통장이 여러 개로 늘어난 경우의 정리 순서를 자주 다룹니다.",godeung;haenggung;jeongja,B,4
paldal,jidong,지동,지동,"자가용 약 15분(못골시장 → 동수원 방면). 대중교통은 팔달문 정류장에서 광교 방면 버스, 약 35분. 건물 주차장 이용 가능.","지동은 못골시장 등 전통시장을 낀 구도심 지역으로 시장 상인·소상공인 상담이 많습니다. 사업자 대출과 개인 카드 채무가 섞여 있는 경우가 많아, 채권자 목록을 빠짐없이 정리하는 것이 첫 단계입니다.",ingye;maegyo;haenggung,C,5
paldal,uman,우만동,우만1·2동,"자가용 약 10분(아주대 → 광교 방면). 대중교통은 아주대 정류장에서 광교 방면 버스, 약 25분. 건물 주차장 이용 가능.","우만동은 아주대학교와 인접한 지역으로 대학가 원룸과 아파트 단지가 함께 있습니다. 청년층의 학자금·카드 채무 상담과 직장인 가계 채무 상담이 고루 많고, 사무소와 가까워 점심시간 상담도 가능합니다.",ingye;woncheon;hwaseo,A,6
paldal,ingye,인계동,인계동,"자가용 약 12분(인계동 → 동수원사거리 → 광교 방면). 대중교통은 인계동 정류장에서 광교 방면 버스, 약 30분. 건물 주차장 이용 가능.","인계동은 수원 최대의 상업·유흥 상권으로 음식점·주점·서비스업 자영업자 상담이 많습니다. 임대료·인건비 부담으로 늘어난 사업 채무와 코로나 이후 대출이 겹친 사례가 많아, 폐업 여부와 무관하게 정리 방향을 함께 잡아드립니다.",uman;jidong;maegyo,B,7
paldal,haenggung,행궁동,행궁동,"자가용 약 15분(화성행궁 → 동수원 방면). 대중교통은 팔달문 정류장에서 광교 방면 버스, 약 35분. 건물 주차장 이용 가능.","행궁동은 화성행궁 일대 관광 상권으로 카페·공방 등 소규모 창업자가 많은 지역입니다. 창업 대출과 임대료 채무가 겹친 소상공인 상담이 많으며, 영업을 계속하면서 회생하는 방법을 주로 다룹니다.",jidong;hwaseo;maesan,C,8
yeongtong,maetan,매탄동,매탄1·2·3·4동,"자가용 약 10분(매탄동 → 동수원사거리 → 광교 방면). 대중교통은 매탄동 정류장에서 광교 방면 버스, 약 25분. 건물 주차장 이용 가능.","매탄동은 삼성전자 수원사업장과 인접한 직장인 밀집 주거지입니다. 급여 압류를 막는 것이 급한 경우가 많아, 서류가 갖춰지는 대로 신청을 최우선으로 진행해 금지명령을 받는 것이 핵심입니다.",woncheon;yeongtong;uman,A,1
yeongtong,woncheon,원천동,원천동,"자가용 약 7분(아주대삼거리 → 광교 방면). 대중교통은 원천동 정류장에서 광교 방면 버스, 약 20분. 건물 주차장 이용 가능.","원천동은 아주대와 광교테크노밸리 사이의 주거 지역으로 직장인과 대학원생·연구원이 많습니다. 사무소까지 10분 이내라 평일 저녁 방문 상담이 편한 지역입니다.",maetan;iui;uman,B,2
yeongtong,iui,이의동,이의동,"자가용 약 5분(광교신도시 내). 대중교통은 광교중앙역에서 도보 10분. 건물 주차장 이용 가능.","이의동은 광교신도시의 중심 주거 지역입니다. 소득이 있어도 주택 관련 대출과 생활비 대출이 겹치면 상환이 어려워질 수 있고, 개인회생은 소득 수준과 무관하게 요건이 되면 이용할 수 있는 제도입니다.",gwanggyo;woncheon;maetan,C,3
yeongtong,gwanggyo,광교동,광교1·2동,"자가용 약 5분(광교신도시 내). 대중교통은 광교중앙역·광교역에서 도보 또는 버스 한 정거장. 건물 주차장 이용 가능.","광교동은 신도시 아파트 단지 중심의 주거 지역으로 사무소와 같은 생활권입니다. 출퇴근길에 들르기 좋은 위치라, 서류 준비 단계에서 수시로 방문해 진행 상황을 확인하시는 분이 많습니다.",iui;woncheon;maetan,A,4
yeongtong,yeongtong,영통동,영통1·2·3동,"자가용 약 12분(영통 → 광교 방면). 대중교통은 영통역에서 광교 방면 버스 환승, 약 30분. 건물 주차장 이용 가능.","영통동은 영통지구 아파트 단지 중심의 주거 지역으로 맞벌이 직장인 가구가 많습니다. 교육비·생활비로 늘어난 카드 채무 상담이 많고, 배우자 소득 반영 기준을 상담에서 정확히 계산해드립니다.",mangpo;maetan;taejang,B,5
yeongtong,mangpo,망포동,망포1·2동,"자가용 약 15분(망포역 → 영통 → 광교 방면). 대중교통은 망포역에서 광교 방면 버스 환승, 약 35분. 건물 주차장 이용 가능.","망포동은 망포역 주변 신축 아파트 단지가 밀집한 지역으로 30대 신혼·젊은 가구가 많습니다. 전세자금대출·신용대출이 겹친 상담이 많으며, 전세 보증금의 청산가치 반영 방법이 핵심 쟁점입니다.",yeongtong;taejang;maetan,C,6
yeongtong,taejang,태장동,태장동,"자가용 약 15분(태장동 → 영통 → 광교 방면). 대중교통은 망포역 방면 버스 이용 후 광교 방면 환승, 약 35분. 건물 주차장 이용 가능.","태장동은 망포·영통 생활권의 주거 지역입니다. 직장인 가계 채무 상담이 많고, 자동차 할부와 리스가 남아 있는 경우 차량을 유지할지 여부를 상담에서 함께 정합니다.",mangpo;yeongtong;maetan,A,7
